order_id,order_date,customer_name,product,category,region,quantity,unit_price,discount_pct,tax_pct,line_total,status,notes,empty_col,constant_col
ORD-0001,2025-05-14,Foxglove Retail Co,Rubber Floor Mat,Home Goods,West,4,228.90,26,15,779.18,completed,,,manual_entry
ORD-0002,2025-01-12,Lighthouse Retail Partners,Ceramic Mug,Textiles,West,7,35.37,10,14,254.03,refunded,,,manual_entry
ORD-0003,2025-05-02,Cedar Grove Wholesale,Glass Vase,Kitchenware,West,8,348.79,2,12,3062.66,completed,,,manual_entry
ORD-0004,2025-05-03,Dune Valley Imports,Canvas Tote Bag,Decor,East,17,183.94,24,15,2732.98,refunded,,,manual_entry
ORD-0005,2025-07-09,Granite Peak Goods,Rubber Floor Mat,Decor,East,16,395.55,30,6,4695.97,refunded,,,manual_entry
ORD-0005,2025-07-09,Granite Peak Goods,Rubber Floor Mat,Decor,East,16,395.55,30,6,4695.97,refunded,,,manual_entry
ORD-0007,2025-11-20,Blue Harbor Supply,Leather Notebook,Home Goods,East,16,188.28,20,3,2482.28,cancelled,,,manual_entry
ORD-0008,2026-06-18,Ironwood Supply Co,Bamboo Cutting Board,Home Goods,South,10,111.31,26,14,939.01,refunded,,,manual_entry
ORD-0009,2025-04-11,Cedar Grove Wholesale,Wooden Picture Frame,Hardware,West,8,382.97,16,1,2599.29,pending,,,manual_entry
,2026-01-06,Granite Peak Goods,Wooden Picture Frame,Office Supplies,Coastal,20,116.24,6,13,2469.40,pending,,,manual_entry
ORD-0011,2026-03-15,Cedar Grove Wholesale,Glass Vase,Home Goods,North,10,27.79,22,3,223.26,completed,,,manual_entry
ORD-0012,2026-06-12,Northgate Distribution,Aluminum Bracket,Office Supplies,Central,13,194.75,1,2,2556.56,pending,,,manual_entry
ORD-0013,2026-04-20,Foxglove Retail Co,Rubber Floor Mat,Office Supplies,Coastal,2,249.92,12,11,488.24,refunded,,,manual_entry
ORD-0014,2026-07-05,Dune Valley Imports,Plastic Storage Bin,Office Supplies,Coastal,16,226.55,30,2,2588.11,completed,,,manual_entry
ORD-0015,2026-08-21,Lighthouse Retail Partners,Ceramic Mug,Decor,North,,287.90,20,0,,pending,,,manual_entry
ORD-0016,2026-03-15,Foxglove Retail Co,Copper Wire Spool,Decor,North,,278.39,3,1,,completed,,,manual_entry
ORD-0017,2026-07-19,Northgate Distribution,Canvas Tote Bag,Home Goods,South,,419.42,8,14,,completed,,,manual_entry
ORD-0018,2025-09-18,Northgate Distribution,Wooden Picture Frame,Kitchenware,West,20,49.47,30,8,747.99,completed,,,manual_entry
ORD-0019,2025-03-19,Ironwood Supply Co,Wool Throw Blanket,Textiles,North,17,8.43,24,11,120.90,completed,,,manual_entry
ORD-0020,2025-06-10,Alpine Ridge Traders,Glass Vase,OFFICE SUPPLIES,East,16,227.07,16,0,3051.82,cancelled,,,manual_entry
ORD-0021,2025-06-11,Blue Harbor Supply,Bamboo Cutting Board,textiles,West,17,372.12,16,12,5951.54,refunded,,,manual_entry
ORD-0022,2025-01-14,Juniper Market Group,Glass Vase,Textiles,North,5,475.14,20,8,2052.60,pending,,,manual_entry
ORD-0023,2025-02-06,Foxglove Retail Co,Leather Notebook,Decor,Central,7,407.05,8,2,2673.83,cancelled,,,manual_entry
ORD-0024,2026-06-07,Ironwood Supply Co,Plastic Storage Bin,Hardware,West,7,395.28,4,8,2868.78,cancelled,,,manual_entry
ORD-0025,2026-06-16,  Kettle Creek Traders,Wool Throw Blanket,Office Supplies,Central,3,178.61,18,12,492.11,pending,,,manual_entry
ORD-0026,2025-02-23,Lighthouse Retail Partners  ,Leather Notebook,Decor,West,7,88.05,28,8,479.27,refunded,,,manual_entry
ORD-0027,2025-09-25,Dune Valley Imports,Plastic Storage Bin,Decor,South,7,71.69,20,8,433.58,refunded,,,manual_entry
